date,title,energy
2026/1/01,[公告] 五、四、三、二、一、新年水桶快樂！,67
2026/1/01,[請益] 能把歷史數據當策略嗎？,28
2026/1/01,Re: [請益] 能把歷史數據當策略嗎？,20
2026/1/01,[新聞] 三星 HBM4 傳在 Google TPU 驗證中奪冠、,17
2026/1/01,[心得] 2025七歲女兒存股年報（滿6年）,10
2026/1/01,[新聞] 機器人、矽光子都淘汰！00915成分股大,12
2026/1/01,Re: [請益] 黃金白銀我已經有點看不懂了,9
2026/1/01,[創作] 漫畫《大時代 2025：瘋鎖前線》,12
2026/1/01,[心得] 2025年報 記憶王2.0,24
2026/1/01,[新聞] 小摩：華邦電受惠DRAM前景改善 目標價從7,23
2026/1/01,[心得] 公務員小資奈米年報（文長）,11
2026/1/01,[心得] 幫國二的女兒存股年報（2025）,15
2026/1/01,[新聞] 大賣空本尊：特斯拉市值荒謬 但他沒做空,37
2026/1/01,[請益] 去年(2025)有超過6成的股票是下跌的？,43
2026/1/01,[請益] 股票基金建議,5
2026/1/01,[請益] 現在投資日本股市還是好時機嗎？,17
2026/1/01,[心得] 高二生的年報,47
2026/1/01,[心得] 真小資 2025 賠錢年報,14
2026/1/01,[請益] 自組市值型ETF好不好？,25
2026/1/01,[新聞] 杜紫宸曾喊「若禁中資，IC業2025會消失」,1
2026/1/01,[心得] 2003~2025台股大盤報酬率,25
2026/1/01,[心得] 2025 年報 - 挑戰不可能,99
2026/1/01,[心得] 2025先衰後盛 反敗為勝,5
2026/1/01,[心得] 生涯報酬率(滿10.5年),10
2026/1/01,[新聞] 群創獲SpaceX訂單股價飆4年高點　大股東,46
2026/1/01,[心得]2025年報,10
2026/1/01,[心得] 2025 台積仔跟期貨心得,12
2026/1/01,[心得] 2025奈米槓桿年報,7
2026/1/01,[心得] 訊號來了溫腥提示之寒冬將至,63
2026/1/01,[心得] 2025年報-台企銀停損換股,10
2026/1/01,[心得] 2025年報,5
2026/1/01,[心得] 2025 奈米納指仔年報,2
2026/1/01,[心得] 2025社畜工程師年報,7
2026/1/01,[心得] 2025 起飛年報,5
2026/1/01,"[請益] 各位開槓桿的,怎麼面臨作錯時大賠的壓力?",53
2026/1/01,"[公告] kkbox0800, wiggins510 等分身仔 水桶",6
2026/1/01,[新聞] 台股大盤漲基層無感 雞腿便當130…帳單,96
2026/1/01,Re: [請益] 被動收入24萬/年有人達到過嗎,26
2026/1/01,[心得] 2025 年報,9
2026/1/01,[心得] 2歲屁孩 2025 年報,14
2026/1/01,Re: [新聞] 台股大盤漲基層無感 雞腿便當130…帳單,35
2026/1/01,[請益]  2026資產配置現況 & 調動建議,15
2026/1/01,[心得] 2025年存股年報 (滿三年),8
2026/1/01,[心得] 2025美股+兒子帳戶年報,1
